"ID","Modified_Time","Added_Time","Modified_User","Added_User","Record_Status","Address.address_line_1","Address.address_line_2","Address.district_city","Address.state_province","Address.postal_Code","Address.country","Address.latitude","Address.longitude"
"3829120000001568013","1635369735000","1634874286000","Z:steven@dynamicdigitalsolutions.com.au","Z:steven@dynamicdigitalsolutions.com.au","0","Lake Mungo","","","SA","","Australia","-33.72162455","143.072531261621"
"3829120000001591038","1635385091000","1635385090000","P:halsy023@mymail.unisa.edu.au","P:halsy023@mymail.unisa.edu.au","0","Mt Borradaile","","West Arnhem","NT","","","-12.4602634","133.399855198864"
"3829120000001591053","1635385618000","1635385618000","P:halsy023@mymail.unisa.edu.au","P:halsy023@mymail.unisa.edu.au","0","","","Hugh","NT","0872","Australia","-24.2991214","133.561247076035"
"3829120000001598025","1635454861000","1635454861000","Z:steven@dynamicdigitalsolutions.com.au","Z:steven@dynamicdigitalsolutions.com.au","0","Uluru","","","Northern Territory","0872","Australia","-25.3455545","131.036961474702"
"3829120000001602005","1635458490000","1635458490000","Z:steven@dynamicdigitalsolutions.com.au","Z:steven@dynamicdigitalsolutions.com.au","0","Wilpena Pound","","Via Hawker ","SA ","5434","Australia","-31.8871956","138.4226859"
"3829120000001603011","1635462343000","1635462343000","P:halsy023@mymail.unisa.edu.au","P:halsy023@mymail.unisa.edu.au","0","153 Venner Street","","Fairfield","QLD","4103","Australia","-27.51248085","153.022802422586"
"3829120000001619011","1635924999000","1635924999000","P:halsy023@mymail.unisa.edu.au","P:halsy023@mymail.unisa.edu.au","0","","","Booleroo Centre","SA","5482","Australia","-32.879367","138.3510455"
"3829120000001621015","1635924934000","1635924934000","P:halsy023@mymail.unisa.edu.au","P:halsy023@mymail.unisa.edu.au","0","Bunjil's Shelter, Bunjils Cave Rd","","Black Range","VIC","3381","Australia","-37.139356","142.7333654"
"3829120000001621031","1635926290000","1635926290000","P:halsy023@mymail.unisa.edu.au","P:halsy023@mymail.unisa.edu.au","0","Mount Lofty","","Cleland","SA","5152","Australia","-34.97336335","138.698755196853"
"3829120000001623017","1635987470000","1635987470000","P:halsy023@mymail.unisa.edu.au","P:halsy023@mymail.unisa.edu.au","0","Flinders Ranges","","","SA","5434","Australia","-31.7667829514137","138.589799813316"
"3829120000001623025","1635987473000","1635987473000","P:halsy023@mymail.unisa.edu.au","P:halsy023@mymail.unisa.edu.au","0","Coorong","","","SA","5264","Australia","-35.9188963","139.457149971198"
"3829120000001623039","1635988338000","1635988338000","P:halsy023@mymail.unisa.edu.au","P:halsy023@mymail.unisa.edu.au","0","Wollombi","","","NSW","2325","Australia","-32.8884895","151.2643272"
"3829120000001623055","1635989615000","1635989615000","P:halsy023@mymail.unisa.edu.au","P:halsy023@mymail.unisa.edu.au","0","Cherryville","","","SA","5134","Australia","-34.8977627962468","138.766490405851"
"3829120000001642011","1636526713000","1636526713000","P:halsy023@mymail.unisa.edu.au","P:halsy023@mymail.unisa.edu.au","0","Yundi","","Yundi","SA","5172","","-35.3194109","138.6079003"
"3829120000001642025","1636533772000","1636533772000","P:halsy023@mymail.unisa.edu.au","P:halsy023@mymail.unisa.edu.au","0","Coongie Lakes National Park","","Innamincka","SA","5731","Australia","-27.745643","140.7375818"
"3829120000001656011","1636705872000","1636705872000","P:halsy023@mymail.unisa.edu.au","P:halsy023@mymail.unisa.edu.au","0","Wilpena Rd","","Via Hawker","SA","5434","Australia","-31.8867099","138.4237462"
"3829120000001657011","1636760444000","1636760444000","P:halsy023@mymail.unisa.edu.au","P:halsy023@mymail.unisa.edu.au","0","Kings Park and Botanic Garden","Fraser Ave","Perth","WA","6055","Australia","-31.9516597","115.8603414"
"3829120000001658011","1636775809000","1636775809000","P:halsy023@mymail.unisa.edu.au","P:halsy023@mymail.unisa.edu.au","0","red banks conservation park","","Clare Valley","SA","","Australia","-33.8333914","138.6120042"
